benchmark,passed,score,n_trials,duration_seconds
conformal_coverage_guarantee,True,0.944,500,0.013309240341186523

detail_key,detail_value
alpha,0.1
aps_coverage,0.984
aps_meets_target,True
avg_aps_set_size,3.52
avg_lac_set_size,2.6
lac_coverage,0.904
lac_meets_target,True
n_calibration,200
n_test,500
score_methodology,"score = round((lac_coverage + aps_coverage) / 2, 4); lac_coverage and aps_coverage are empirical frequencies from empirical_coverage(predictor, test_data) over n_test held-out (distribution, label) pairs after split calibration on n_calibration draws each (LAC from label probs; APS from full softmax vectors). Equal weights; rounding applied only when storing score."
target_coverage,0.9
